	X.home.guest.GoMRI.LBN1S1	X.home.guest.GoMRI.LBN10S10	X.home.guest.GoMRI.LBN2S2	X.home.guest.GoMRI.LBN3S3	X.home.guest.GoMRI.LBN4S4	X.home.guest.GoMRI.LBN5S5	X.home.guest.GoMRI.LBN6S6	X.home.guest.GoMRI.LBN7S7	X.home.guest.GoMRI.LBN8S8	X.home.guest.GoMRI.LBN9S9	X.home.guest.GoMRI.LBO1S11	X.home.guest.GoMRI.LBO10S20	X.home.guest.GoMRI.LBO2S12	X.home.guest.GoMRI.LBO3S13	X.home.guest.GoMRI.LBO4S14	X.home.guest.GoMRI.LBO5S15	X.home.guest.GoMRI.LBO6S16	X.home.guest.GoMRI.LBO7S17	X.home.guest.GoMRI.LBO8S18	X.home.guest.GoMRI.LBO9S19	X.home.guest.GoMRI.LFN1S61	X.home.guest.GoMRI.LFN10S70	X.home.guest.GoMRI.LFN2S62	X.home.guest.GoMRI.LFN3S63	X.home.guest.GoMRI.LFN4S64	X.home.guest.GoMRI.LFN5S65	X.home.guest.GoMRI.LFN6S66	X.home.guest.GoMRI.LFN7S67	X.home.guest.GoMRI.LFN8S68	X.home.guest.GoMRI.LFN9S69	X.home.guest.GoMRI.LFO1S71	X.home.guest.GoMRI.LFO10S80	X.home.guest.GoMRI.LFO2S72	X.home.guest.GoMRI.LFO3S73	X.home.guest.GoMRI.LFO4S74	X.home.guest.GoMRI.LFO5S75	X.home.guest.GoMRI.LFO6S76	X.home.guest.GoMRI.LFO7S77	X.home.guest.GoMRI.LFO8S78	X.home.guest.GoMRI.LFO9S79	X.home.guest.GoMRI.RBN1S21	X.home.guest.GoMRI.RBN10S30	X.home.guest.GoMRI.RBN3S23	X.home.guest.GoMRI.RBN4S24	X.home.guest.GoMRI.RBN5S25	X.home.guest.GoMRI.RBN6S26	X.home.guest.GoMRI.RBN7S27	X.home.guest.GoMRI.RBN8S28	X.home.guest.GoMRI.RBN9S29	X.home.guest.GoMRI.RBO1S31	X.home.guest.GoMRI.RBO10S40	X.home.guest.GoMRI.RBO2S32	X.home.guest.GoMRI.RBO3S33	X.home.guest.GoMRI.RBO4S34	X.home.guest.GoMRI.RBO5S35	X.home.guest.GoMRI.RBO6S36	X.home.guest.GoMRI.RBO7S37	X.home.guest.GoMRI.RBO8S38	X.home.guest.GoMRI.RBO9S39	X.home.guest.GoMRI.RFN1S7	X.home.guest.GoMRI.RFN1S81	X.home.guest.GoMRI.RFN10S90	X.home.guest.GoMRI.RFN2S82	X.home.guest.GoMRI.RFN3S83	X.home.guest.GoMRI.RFN3S9	X.home.guest.GoMRI.RFN4S10	X.home.guest.GoMRI.RFN4S84	X.home.guest.GoMRI.RFN5S11	X.home.guest.GoMRI.RFN5S85	X.home.guest.GoMRI.RFN6S12	X.home.guest.GoMRI.RFN6S86	X.home.guest.GoMRI.RFN7S87	X.home.guest.GoMRI.RFN8S88	X.home.guest.GoMRI.RFN9S89	X.home.guest.GoMRI.RFO1S1	X.home.guest.GoMRI.RFO1S91	X.home.guest.GoMRI.RFO10S4	X.home.guest.GoMRI.RFO2S2	X.home.guest.GoMRI.RFO2S92	X.home.guest.GoMRI.RFO3S3	X.home.guest.GoMRI.RFO3S93	X.home.guest.GoMRI.RFO4S4	X.home.guest.GoMRI.RFO4S94	X.home.guest.GoMRI.RFO5S5	X.home.guest.GoMRI.RFO5S95	X.home.guest.GoMRI.RFO6S6	X.home.guest.GoMRI.RFO6S96	X.home.guest.GoMRI.RFO7S1	X.home.guest.GoMRI.RFO8S2	X.home.guest.GoMRI.RFO9S3	X.home.guest.GoMRI.SBN1S41	X.home.guest.GoMRI.SBN10S50	X.home.guest.GoMRI.SBN2S42	X.home.guest.GoMRI.SBN3S43	X.home.guest.GoMRI.SBN4S44	X.home.guest.GoMRI.SBN5S45	X.home.guest.GoMRI.SBN6S46	X.home.guest.GoMRI.SBN7S47	X.home.guest.GoMRI.SBN8S48	X.home.guest.GoMRI.SBN9S49	X.home.guest.GoMRI.SBO1S51	X.home.guest.GoMRI.SBO10S60	X.home.guest.GoMRI.SBO2S52	X.home.guest.GoMRI.SBO3S53	X.home.guest.GoMRI.SBO4S54	X.home.guest.GoMRI.SBO5S55	X.home.guest.GoMRI.SBO6S56	X.home.guest.GoMRI.SBO7S57	X.home.guest.GoMRI.SBO8S58	X.home.guest.GoMRI.SBO9S59	X.home.guest.GoMRI.SFN1S5	X.home.guest.GoMRI.SFN10S14	X.home.guest.GoMRI.SFN2S6	X.home.guest.GoMRI.SFN3S7	X.home.guest.GoMRI.SFN4S8	X.home.guest.GoMRI.SFN5S9	X.home.guest.GoMRI.SFN6S10	X.home.guest.GoMRI.SFN7S11	X.home.guest.GoMRI.SFN8S12	X.home.guest.GoMRI.SFN9S13	X.home.guest.GoMRI.SFO1S15	X.home.guest.GoMRI.SFO10S24	X.home.guest.GoMRI.SFO2S16	X.home.guest.GoMRI.SFO3S17	X.home.guest.GoMRI.SFO4S18	X.home.guest.GoMRI.SFO5S19	X.home.guest.GoMRI.SFO6S20	X.home.guest.GoMRI.SFO7S21	X.home.guest.GoMRI.SFO8S22	X.home.guest.GoMRI.SFO9S23
Plant	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	L	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S
Location	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Oil	N	N	N	N	N	N	N	N	N	N	O	O	O	O	O	O	O	O	O	O	N	N	N	N	N	N	N	N	N	N	O	O	O	O	O	O	O	O	O	O	N	N	N	N	N	N	N	N	N	O	O	O	O	O	O	O	O	O	O	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	N	N	N	N	N	N	N	N	N	N	O	O	O	O	O	O	O	O	O	O	N	N	N	N	N	N	N	N	N	N	O	O	O	O	O	O	O	O	O	O
Bacteria|Chloroflexi|Dehalococcoidia|MSBL5|NA|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.25358517	1.54E-01	8.24E-02	0.001702365	0	2.06E-04	0.040405297	0	0.190540114	0.254316283	2.14E-01	0.059222153	4.58E-04	4.60E-02	3.65E-01	1.56E-01	1.29E-01	0.271124379	3.18E-01	0.088064277	7.37E-02	3.11E-01	1.49E-01	2.31E-01	1.56E-01	1.67E-01	0.101190746	5.70E-01	5.87E-01	0.004702323	4.55E-03	0.064961848	0.120033773	0.321227257	3.50E-01	3.55E-01	3.31E-01	3.03E-02	7.31E-01	6.54E-02	0	0	3.65E-04	7.63E-05	0	0.002534923	0.000299452	1.59E-05	0	0.00E+00	8.56E-05	3.66E-04	0.000778773	1.48E-04	2.13E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.83E-04	7.67E-05	3.43E-05	5.41E-05	2.10E-04	0.00E+00	9.08E-05	1.76E-04	4.00E-04	0.00E+00	8.76E-05	2.21E-04	1.40E-04	2.38126E-05	3.80E-05	3.35E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Bacteria|Proteobacteria|Gammaproteobacteria|OM182_clade|NA|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.030495803	8.22E-02	7.00E-02	0	0.000519519	0.00E+00	0.012354457	0.002967704	0.015003159	0.065601642	4.90E-02	0.005842292	4.88E-02	3.73E-02	2.32E-02	9.69E-02	6.09E-02	0.127364321	2.59E-02	0.024526906	3.54E-02	1.31E-02	7.75E-02	8.82E-02	1.73E-01	1.06E-01	0.119097207	3.62E-03	2.33E-03	0.013152873	7.90E-03	0.374510208	0.096008597	0.109739565	6.77E-02	1.60E-02	8.89E-03	9.75E-02	2.43E-02	1.66E-01	0	0	1.31E-03	2.12E-04	0	0	0	3.16E-04	0	7.67E-05	2.50E-04	1.22E-03	0.000445013	1.58E-03	8.51E-04	6.25E-04	0.00E+00	2.57E-04	3.08E-04	5.62E-04	4.11E-03	3.63E-03	4.10E-03	5.72E-03	1.87E-03	1.54E-03	1.80E-03	9.74E-03	4.14E-03	2.71E-03	1.73E-03	4.10E-03	3.54E-03	0.001296086	2.54E-03	3.26E-03	6.54E-03	2.85E-03	9.43E-03	6.51E-03
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Magnetospiraceae|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000331605	1.00E-04	0.000692387	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.002513991	1.61E-02	1.62E-02	0.001764269	0	0.00E+00	0.025348858	0	0.001816172	0.001348381	5.74E-05	0.014307424	1.92E-04	4.58E-04	1.22E-03	1.31E-04	5.34E-04	0.00027987	1.30E-03	0.032032985	2.61E-03	8.30E-04	0.00E+00	4.00E-04	3.78E-03	3.54E-03	0.017725359	2.53E-02	2.06E-02	0.008041653	4.93E-03	0.035814945	0.029720602	0.00099893	1.22E-03	0.00E+00	8.36E-05	3.36E-03	0.00E+00	2.90E-02	0.02419334	0.002186731	2.81E-02	5.53E-03	0	0.00925876	0.004277892	9.54E-03	0	7.01E-03	9.51E-02	8.36E-02	0.00050064	3.43E-02	7.31E-03	2.61E-03	0.00E+00	8.60E-04	1.79E-03	5.89E-03	7.41E-02	6.51E-03	1.12E-02	3.50E-02	1.94E-02	7.37E-02	7.25E-03	9.64E-03	4.58E-02	1.22E-02	1.35E-02	7.07E-02	4.07E-02	0.023560868	1.36E-02	3.74E-02	5.26E-02	2.64E-02	8.62E-03	1.76E-02
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae|Salinispira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001172333	0	0.00E+00	0	0.000292826	0.00E+00	2.29E-04	2.77E-04	0.00E+00	7.93E-04	0.013247639	3.25E-02	4.25E-02	0.012504643	0.002671812	2.27E-03	0.025455515	0	0.010462729	0.089813865	3.12E-02	0.076985422	3.36E-02	3.41E-02	8.33E-02	7.48E-02	8.98E-02	0.166965972	1.02E-01	0.122105931	1.30E-01	5.52E-02	5.65E-02	1.13E-01	4.36E-02	4.15E-02	0.026123964	4.17E-02	3.40E-02	0.06343365	5.18E-02	0.016017048	0.030564937	0.052657867	4.38E-02	3.23E-02	2.58E-02	6.56E-02	1.70E-02	3.87E-02	0.000310503	0	8.62E-04	7.67E-04	0	0	0.00038501	5.37E-04	0	4.69E-04	9.54E-04	6.41E-03	0	1.07E-03	7.87E-04	4.37E-04	0.00E+00	6.98E-04	2.17E-04	3.00E-03	2.26E-03	8.90E-03	5.14E-03	3.45E-03	5.30E-03	3.03E-03	6.59E-03	1.42E-02	6.12E-03	7.57E-03	3.60E-03	4.81E-03	8.03E-04	0.001649873	5.24E-03	3.20E-03	4.81E-03	4.40E-03	1.03E-02	7.63E-03
Bacteria|Acidobacteria|Subgroup_26|NA|NA|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.036026583	6.85E-02	4.20E-02	0.054073295	0.005918807	5.40E-03	0.031374989	0.003258656	0.021991472	0.225003664	1.04E-01	0.109078629	1.71E-01	2.28E-01	1.55E-01	1.63E-01	7.74E-02	0.079739721	1.65E-01	0.095993234	2.10E-01	1.03E-01	1.50E-01	1.43E-01	5.94E-02	7.15E-02	0.162199484	7.08E-02	5.64E-02	0.147366699	2.27E-01	0.106619922	0.132407123	0.163753122	1.38E-01	1.07E-01	1.14E-01	1.83E-01	3.26E-02	9.05E-02	0	0.000390488	6.96E-04	2.58E-04	0	0	0.000128337	1.66E-04	0	3.07E-04	9.83E-04	2.55E-03	0.000945653	7.51E-04	1.30E-04	0.00E+00	0.00E+00	7.87E-05	1.99E-04	3.89E-04	3.41E-04	2.22E-04	3.05E-04	7.11E-04	1.48E-03	4.18E-04	3.93E-04	2.00E-03	6.75E-04	1.53E-03	3.76E-04	8.52E-04	3.59E-04	0.000129268	1.27E-04	2.34E-04	4.42E-04	3.04E-04	1.25E-04	1.63E-04
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Vallitalea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.02627667	2.97E-02	2.70E-02	0.004395196	0	3.29E-05	0.000391076	0	0.012792167	0.037930529	4.59E-02	0.011617043	3.49E-02	4.77E-02	2.86E-02	7.47E-02	7.90E-02	0.026121231	3.38E-02	0.024209747	2.91E-02	2.35E-02	7.16E-02	2.22E-02	5.82E-02	4.55E-02	0.052270566	5.89E-03	4.83E-03	0.053660997	4.28E-02	0.026534681	0.034402825	0.009097396	8.96E-03	5.04E-02	4.70E-02	5.89E-02	4.28E-02	1.24E-02	0.000491629	0.000351439	1.64E-03	5.93E-04	0	0.000143825	0.000513347	8.86E-04	0	1.05E-03	1.84E-03	4.84E-03	0.00033376	3.08E-03	7.77E-04	1.29E-04	0.00E+00	0.00E+00	0.00E+00	8.31E-04	1.72E-03	5.71E-04	1.30E-03	3.05E-03	3.78E-03	1.77E-03	1.85E-03	7.53E-03	3.81E-03	1.70E-03	1.17E-03	4.40E-03	1.09E-03	0.000714378	1.11E-03	9.96E-04	1.73E-03	2.28E-03	1.11E-03	1.98E-03
Bacteria|Proteobacteria|Gammaproteobacteria|Betaproteobacteriales|Nitrosomonadaceae|GOUTA6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	1.37E-04	0.00E+00	0.00E+00	0.00E+00	0.003300979	7.80E-03	3.05E-03	0.004488053	0	0.00E+00	0.000391076	0	0.00177669	0.078440569	4.84E-02	0.003286993	5.27E-02	1.04E-02	9.03E-02	6.45E-02	7.49E-02	0.056463838	9.40E-02	0.004863093	5.65E-02	6.91E-02	5.65E-02	4.94E-02	7.29E-02	6.41E-02	0.010752932	8.22E-04	7.86E-04	0.007441937	6.76E-03	0.007286726	0.016364753	0.055440599	5.24E-02	3.85E-02	3.10E-02	2.64E-02	5.75E-03	4.19E-02	0	0	0.00E+00	0.00E+00	0	0	0	0.00E+00	0	0.00E+00	1.16E-05	0.00E+00	0	0.00E+00	3.72E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.00E-05	1.45E-04	5.12E-05	6.87E-05	0.00E+00	9.83E-05	0.00E+00	7.06E-05	2.42E-03	3.61E-04	1.38E-04	8.32E-05	1.03E-04	0.00E+00	3.06162E-05	1.30E-05	0.00E+00	0.00E+00	1.93E-04	0.00E+00	4.70E-05
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000254855	0.000120584	7.03E-04	0	0	3.10E-03	1.14E-04	5.90E-04	0.00E+00	0.00E+00	0.001770724	5.55E-03	1.01E-03	0.028073542	0.021504379	1.62E-02	0.027659764	0	0.003869236	0.008354096	1.63E-02	0.051443688	2.97E-02	1.24E-02	3.15E-02	4.04E-02	1.52E-02	0.009935397	1.32E-02	0.069669098	8.49E-02	2.72E-02	3.93E-02	9.58E-03	2.42E-02	2.35E-02	0.014261783	3.45E-02	3.38E-02	0.045060517	4.71E-02	0.00536193	0.010009211	0.003960043	3.90E-03	1.05E-03	1.36E-03	4.25E-02	3.26E-03	1.83E-02	0.056226874	0.047483307	5.33E-02	3.09E-02	0	0.055570537	0.081558008	5.34E-02	0.052944798	6.03E-02	2.10E-02	2.93E-02	0.024976359	1.66E-02	3.35E-02	2.00E-02	1.64E-02	3.68E-02	1.62E-02	6.04E-02	3.14E-02	2.94E-02	2.81E-02	3.48E-02	3.70E-02	3.59E-02	4.39E-02	2.91E-02	3.44E-02	3.10E-02	2.21E-02	2.39E-02	1.71E-02	0.037327954	2.24E-02	3.27E-02	1.95E-02	2.78E-02	1.40E-02	1.47E-02
Bacteria|Chloroflexi|JG30-KF-CM66|NA|NA|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	1.78E-03	0.00E+00	0.002538071	0.000890604	0.00E+00	0.005972802	0.00413151	0.002447884	0	1.20E-03	0.201485901	1.06E-03	1.60E-02	5.65E-03	0.00E+00	1.97E-04	0.001166126	4.55E-05	0.008880431	2.25E-02	1.91E-01	2.73E-03	5.56E-02	0.00E+00	1.10E-02	0	0.00E+00	1.85E-03	0	3.74E-04	0	0.009947805	0	0.00E+00	0.00E+00	1.07E-03	3.59E-02	0.00E+00	0.00E+00	0	0	9.94E-04	1.74E-03	0	0.000665193	0	1.80E-04	0	6.05E-04	2.02E-04	0.00E+00	0.001168159	2.33E-04	3.80E-04	1.94E-03	0.00E+00	1.38E-03	2.35E-04	1.69E-03	1.30E-03	1.96E-04	1.03E-04	0.00E+00	6.48E-05	1.33E-04	1.51E-04	2.24E-04	6.28E-05	8.05E-05	1.18E-04	9.34E-04	1.00E-04	0.000068036	1.13E-04	1.52E-04	5.82E-04	2.43E-04	2.88E-04	4.14E-04
Bacteria|Nitrospirae|4-29-1|NA|NA|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.13E-05	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	6.98E-04	0	0	0.00E+00	0	0	0	0	4.09E-03	0.000382732	3.66E-04	2.59E-04	0.00E+00	2.18E-04	0.00E+00	0.000443128	0.00E+00	0	0.00E+00	0.00E+00	1.00E-04	3.00E-04	0.00E+00	0.00E+00	0.001018699	0.00E+00	0.00E+00	0.000368008	9.35E-05	0	0.000107461	0	0.00E+00	2.26E-03	2.13E-03	0.00E+00	0.00E+00	7.95E-05	0.01969105	0.01686907	2.27E-02	1.37E-02	0	0.020495119	0.017346852	1.42E-02	0.021342089	1.61E-02	1.79E-02	2.83E-02	0.02280692	2.15E-02	1.46E-02	7.34E-03	2.97E-03	6.37E-03	3.27E-03	1.25E-02	2.00E-02	1.55E-02	1.15E-02	2.00E-02	1.94E-02	2.29E-02	2.60E-02	1.89E-02	2.45E-02	1.68E-02	9.59E-03	1.85E-02	2.14E-02	0.020308747	1.27E-02	1.24E-02	1.24E-02	1.02E-02	7.48E-03	8.49E-03
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Anaerobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000347313	0	0	0	0	0	0	0	0	0	0	0.000407768	0.000798867	3.20E-04	0	0.000239585	0.00E+00	1.41E-03	1.01E-03	7.24E-04	4.68E-04	0	0.00E+00	0.00E+00	0	0	0.00E+00	0	0	0	0	0.00E+00	4.50273E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.21E-05	0	0.00E+00	0.00E+00	0.000204449	0.00E+00	0	0	0	1.64E-04	0.00E+00	6.97E-05	0.00E+00	0.00E+00	0.00E+00	0.026211608	0.029364677	1.40E-02	9.32E-03	0	0.018265825	0.01463039	1.99E-02	0.08311102	2.58E-02	1.21E-02	8.27E-03	0.01157034	4.15E-03	3.54E-03	8.45E-03	1.40E-02	2.17E-02	5.07E-03	2.03E-02	1.75E-02	2.92E-02	2.57E-02	2.63E-02	2.07E-02	1.40E-02	2.44E-02	2.32E-02	2.27E-02	2.23E-02	4.54E-02	1.23E-02	2.04E-02	0.045944714	2.59E-02	2.66E-02	2.79E-02	3.37E-02	1.79E-02	2.10E-02
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Caulobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0.001246296	0.001810196	0.00E+00	0.00E+00	1.79E-03	8.31E-04	4.29E-04	0.001880028	4.59E-03	0.00E+00	0	0	0.00E+00	0.001422096	0	0.000355338	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0	0.00E+00	4.66E-05	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	3.33E-04	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.12E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Bacteria|Proteobacteria|Alphaproteobacteria|Puniceispirillales|EF100-94H03|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.010493179	1.16E-02	1.54E-02	0.001145227	0.001076147	1.23E-04	0	0.003898749	0.00473784	0.014920123	5.24E-02	0.00021388	3.88E-02	4.02E-02	5.44E-03	1.02E-02	3.10E-02	0.000653031	9.17E-03	0.001057194	6.68E-04	3.72E-03	1.05E-02	4.92E-04	2.50E-02	2.09E-02	0.0225472	9.05E-04	5.37E-04	0.000613346	5.14E-04	0.016360762	0.008980657	0.000321085	1.82E-04	3.90E-03	2.67E-03	1.70E-02	6.51E-05	1.75E-03	0.003803659	0.00445156	4.49E-03	3.25E-03	0	0.005483343	0.004021218	3.02E-03	0.003283398	2.94E-03	2.20E-03	4.60E-03	0.000556266	2.52E-03	2.18E-03	1.86E-03	2.19E-03	3.11E-03	1.23E-03	3.73E-03	2.91E-03	7.00E-03	8.11E-03	3.43E-03	4.34E-03	3.68E-03	4.78E-03	7.36E-03	4.21E-03	7.40E-03	3.93E-03	4.67E-03	2.57E-03	0.002888128	6.72E-03	4.71E-03	7.43E-03	7.99E-03	1.34E-02	9.72E-03
Bacteria|Planctomycetes|Pla3_lineage|NA|NA|NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.000131165	7.56E-05	2.14E-04	0	0	0.00E+00	0.000711048	0	0.000276374	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	3.86E-05	0.00E+00	0.00E+00	0.00E+00	3.39E-05	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0.000713521	2.18E-04	0.00E+00	1.35E-04	1.12E-04	0.00E+00	0.00E+00	0.004295288	0.002499121	5.32E-03	3.19E-03	0	0.002427054	0.002823409	2.66E-03	0.001641699	3.87E-03	4.21E-03	9.02E-03	0.002948212	2.65E-03	1.75E-03	5.86E-04	3.30E-04	2.26E-04	2.01E-03	5.60E-03	1.11E-02	1.14E-02	1.13E-02	2.89E-02	1.89E-02	1.38E-02	1.28E-02	2.40E-02	2.44E-02	1.33E-02	1.41E-02	1.34E-02	2.96E-03	0.01188589	1.33E-02	2.44E-02	1.68E-02	2.03E-02	5.26E-03	8.93E-03
Bacteria|Proteobacteria|Alphaproteobacteria|Reyranellales|Reyranellaceae|Reyranella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.39E-05	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0.000309521	0.000166988	0.00E+00	0	0	0	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0	0.00E+00	0.00E+00	0	0.00E+00	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.017025901	0.022960678	1.70E-02	1.67E-02	0	0.021483919	0.023913416	2.17E-02	0.047404063	1.73E-02	8.64E-03	4.99E-04	0.010791567	9.10E-03	1.44E-02	1.92E-02	1.34E-02	1.18E-02	1.34E-02	8.69E-03	3.27E-04	4.95E-04	9.96E-04	1.70E-04	3.53E-04	1.56E-04	4.44E-04	4.85E-04	1.18E-04	7.27E-04	2.93E-04	2.65E-04	8.61E-05	0.000881066	5.75E-04	3.71E-04	5.62E-04	7.40E-04	9.67E-04	7.21E-04
